# Galaxy: CVIdwA
# Distance: 3.6 Mpc
# Mean Inclination: 49.2 degree
# Mean PA: 60.6 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   10.00     0.17     4.80     0.91     4.18     2.30     6.37     1.66     9.58     0.47    12.33     2.74
   20.00     0.35     6.04     1.54     6.40     2.10     8.80     1.86     9.09     0.82    12.55     3.99
   30.00     0.52     7.50     1.93     8.15     1.41    11.08     1.67     7.79     1.17    11.78     3.99
   40.00     0.70    11.71     1.70     9.55     1.45    15.12     1.61     7.60     0.91     9.40     3.26
   50.00     0.87    12.42     1.98    10.93     2.02    16.55     2.00     7.49     1.06     6.57     2.38
   60.00     1.05    13.96     2.89    12.21     2.61    18.54     2.77     5.95     1.78     4.26     1.78
   70.00     1.22    14.70     3.73    13.44     3.20    19.92     3.50     8.13     0.61     2.71     1.34
   80.00     1.40    16.68     3.73    14.58     3.54    22.15     3.65     2.44     1.17     1.81     0.99
   90.00     1.57    15.72     3.73    16.00     4.13    22.43     3.94     7.57     0.72     1.11     0.73
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
