# Galaxy: DDO133
# Distance: 3.5 Mpc
# Mean Inclination: 38.9 degree
# Mean PA: -3.8 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   11.00     0.19     9.93     2.00     2.26     1.98    10.19     2.00    10.20     1.06     4.96     1.18
   22.00     0.37    16.77     3.21     3.54     2.48    17.14     3.19     9.64     1.35     6.01     1.44
   33.00     0.56    20.30     2.70     4.72     2.52    20.84     2.69     8.92     1.27     5.93     1.81
   44.00     0.75    24.39     2.87     5.80     2.32    25.07     2.84     8.82     1.30     5.37     1.74
   55.00     0.93    28.15     2.70     6.84     1.96    28.97     2.66     9.09     1.18     5.02     1.84
   66.00     1.12    31.74     2.44     7.72     1.63    32.66     2.40     8.55     1.30     5.21     2.27
   77.00     1.31    33.89     2.56     8.53     1.66    34.94     2.52     8.07     1.34     5.15     2.54
   88.00     1.49    36.51     2.99     9.41     1.98    37.70     2.94     7.80     0.79     4.58     2.41
   99.00     1.68    38.62     2.84    10.34     2.25    39.98     2.81     6.93     1.23     4.14     2.16
  110.00     1.87    40.50     2.90    11.27     2.87    42.04     2.90     7.87     1.56     3.65     1.93
  121.00     2.05    43.19     3.14    12.04     3.46    44.84     3.17     8.02     1.84     3.23     1.60
  132.00     2.24    44.19     3.49    12.87     4.14    46.02     3.54     8.02     1.37     2.86     1.26
  143.00     2.43    44.39     3.29    13.51     4.69    46.40     3.43     8.06     4.71     2.55     1.03
  154.00     2.61    44.13     3.40    14.04     5.12    46.31     3.59     5.56     1.55     1.89     0.98
  165.00     2.80    46.75     5.09    14.42     5.46    48.92     5.12     8.06     0.48     1.25     0.77
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
