# Galaxy: DDO216 (Pegasus dIrr)
# Distance: 1.1 Mpc
# Mean Inclination: 70.0 degree
# Mean PA: 130.4 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   30.00     0.16     7.57     2.06     0.30     0.44     7.58     2.06     6.21     2.11     2.18     0.33
   45.00     0.24     9.50     1.57     0.65     0.97     9.52     1.57     5.61     1.22     2.04     0.55
   60.00     0.32     9.66     1.20     1.31     1.94     9.75     1.22     5.57     1.05     1.83     0.92
   75.00     0.40     9.67     1.32     2.29     3.40     9.93     1.51     5.92     0.90     1.54     0.88
   90.00     0.48    10.32     1.38     3.61     5.15    10.93     2.14     5.98     0.90     1.30     0.74
  105.00     0.56     9.95     1.46     4.95     5.24    11.11     2.67     5.70     0.95     1.18     0.71
  120.00     0.64    10.50     1.25     5.41     6.17    11.81     3.04     5.36     0.95     1.09     0.67
  135.00     0.72    11.95     1.24     6.52     8.37    13.61     4.16     5.00     0.99     0.96     0.57
  150.00     0.80    10.87     1.34     6.65     9.86    12.74     5.27     4.46     1.06     0.82     0.49
  165.00     0.88    11.80     2.51     6.58     9.76    13.51     5.23     7.92     0.83     0.69     0.42
  180.00     0.96    11.72     3.36     6.49     9.63    13.40     5.52     7.93     0.56     0.53     0.33
  195.00     1.04    12.40     3.36     6.08     9.01    13.81     4.98     8.08     0.46     0.40     0.27
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
