# Galaxy: DDO50
# Distance: 3.4 Mpc
# Mean Inclination: 33.1 degree
# Mean PA: 174.9 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   15.00     0.25     5.79    10.14     0.75     1.11     5.83    10.06    11.42     1.70     9.43     1.68
   30.00     0.49    13.03     2.76     1.23     1.82    13.08     2.75    12.62     2.42     8.16     2.66
   45.00     0.74    29.18     4.58     1.80     2.67    29.23     4.57    10.88     2.41     7.50     3.18
   60.00     0.99    34.67     4.80     2.45     3.64    34.75     4.79     9.19     2.50     7.38     3.62
   75.00     1.24    39.88     5.02     3.21     4.75    40.01     5.02     7.99     2.34     6.76     3.83
   90.00     1.48    40.08     7.46     4.07     6.04    40.29     7.45    10.57     2.19     6.81     4.43
  105.00     1.73    43.17     5.62     5.04     6.67    43.47     5.64     9.63     2.06     6.86     4.26
  120.00     1.98    41.72     5.54     5.83     6.37    42.13     5.56     9.57     1.82     7.11     4.14
  135.00     2.23    41.60     5.64     6.69     5.71    42.13     5.65     9.43     1.79     7.42     4.11
  150.00     2.47    40.27     6.61     7.35     5.15    40.94     6.56     9.57     2.09     7.64     4.04
  165.00     2.72    40.81     6.02     7.95     4.68    41.57     5.98    10.12     2.10     7.00     3.32
  180.00     2.97    40.85     4.39     8.36     4.57    41.69     4.40     9.00     2.29     6.57     2.56
  195.00     3.21    38.98     3.92     8.77     4.18    39.96     3.93     8.80     2.11     6.64     2.61
  210.00     3.46    38.18     4.01     9.44     4.42    39.33     4.04     8.83     1.96     6.33     3.03
  225.00     3.71    37.23     3.90    10.13     4.91    38.59     3.98     8.88     1.69     5.41     2.75
  240.00     3.96    38.62     4.10    10.91     5.99    40.13     4.27     7.74     1.60     4.58     2.40
  255.00     4.20    42.37     3.61    11.19     7.22    43.82     3.94     6.71     1.48     3.94     2.29
  270.00     4.45    44.13     3.62    11.45     8.11    45.59     4.05     8.04     2.70     3.46     2.10
  285.00     4.70    43.15     3.75    11.49     8.98    44.66     4.30     6.26     1.18     3.09     1.67
  300.00     4.95    43.90     3.72    11.36     9.20    45.34     4.28     8.01     3.90     2.86     1.27
  315.00     5.19    41.74     4.26    11.22     9.59    43.22     4.81     8.00     4.67     2.82     1.27
  330.00     5.44    38.88     5.12    10.95     9.86    40.39     5.60     7.97     2.94     2.75     1.30
  345.00     5.69    37.47     6.25    10.84     9.72    39.00     6.58     8.01     1.40     2.46     1.21
  360.00     5.93    36.81     7.47    10.54     9.65    38.29     7.66     8.03     0.76     2.02     1.08
  375.00     6.18    38.73     9.62    10.20     9.87    40.04     9.63     8.03     0.74     1.50     0.94
  390.00     6.43    36.33    10.14     9.80    10.00    37.63    10.13     1.64     1.64     1.02     0.85
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
