# Galaxy: NGC2366
# Distance: 3.4 Mpc
# Mean Inclination: 65.1 degree
# Mean PA: 39.8 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   32.00     0.53     2.57     5.48     3.16     3.09     4.07     4.21    13.18     2.42     9.54     1.81
   48.00     0.79     9.85     1.87     4.34     3.86    10.77     2.31    15.52     3.23     9.63     2.80
   64.00     1.05    17.18     4.86     5.65     4.45    18.09     4.82    14.62     3.08     9.79     3.14
   80.00     1.32    21.15     4.84     6.96     4.82    22.27     4.84    14.99     2.52    10.01     3.05
   96.00     1.58    28.14     3.48     8.53     4.80    29.41     3.61    14.91     2.54    10.10     3.22
  112.00     1.85    29.27     2.43    10.05     4.50    30.95     2.72    13.89     2.31     9.36     3.04
  128.00     2.11    37.77     2.95    11.53     4.17    39.49     3.07    12.39     1.78     8.05     2.55
  144.00     2.37    41.89     2.73    12.74     3.86    43.78     2.84    11.98     1.80     7.00     2.13
  160.00     2.64    44.76     3.48    13.99     3.61    46.89     3.49    12.61     2.25     6.22     2.12
  176.00     2.90    46.92     4.04    15.19     3.42    49.32     3.98    13.80     2.37     5.67     2.19
  192.00     3.16    49.94     4.42    16.26     3.26    52.52     4.32    13.72     2.67     5.39     2.18
  208.00     3.43    52.28     3.70    17.42     3.26    55.10     3.66    13.69     2.61     5.12     2.18
  224.00     3.69    50.80     3.97    18.55     3.48    54.09     3.92    12.62     2.70     4.65     2.06
  240.00     3.96    49.38     3.43    19.52     3.66    53.10     3.47    12.86     2.43     4.23     1.90
  256.00     4.22    47.86     3.50    20.63     4.14    52.11     3.61    12.24     2.31     4.01     1.96
  272.00     4.48    47.17     3.05    21.44     4.51    51.81     3.35    11.52     1.93     3.72     1.97
  288.00     4.75    49.64     3.42    22.10     4.74    54.34     3.67    12.10     1.91     3.44     1.93
  304.00     5.01    51.47     3.32    22.35     4.92    56.11     3.62    10.74     2.25     3.01     1.77
  320.00     5.27    52.23     3.44    22.31     5.07    56.80     3.74    10.16     2.50     2.68     1.60
  336.00     5.54    52.88     3.06    22.15     5.06    57.33     3.43     9.37     2.50     2.36     1.48
  352.00     5.80    52.53     3.52    21.60     5.02    56.80     3.78     8.83     2.76     2.06     1.38
  368.00     6.07    53.41     4.64    21.02     4.92    57.40     4.68     9.32     3.07     1.69     1.28
  384.00     6.33    55.20     5.48    20.29     5.11    58.82     5.44     8.15     3.84     1.37     1.20
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
