# Galaxy: WLM
# Distance: 1.0 Mpc
# Mean Inclination: 74.0 degree
# Mean PA: 174.0 degree
#   R["]    R[kpc]  Vr[km/s]  err_Vr  Va[km/s]  err_Va  Vc[km/s]  err_Vc  Vd[km/s]  err_Vd   Sdens  err_Sdens
   25.00     0.12     5.92     0.90     0.54     0.38     5.94     0.90     7.15     0.46     4.41     0.38
   50.00     0.24     8.81     0.98     0.86     0.58     8.86     0.97     7.00     0.50     4.97     0.47
   75.00     0.36    12.37     1.16     1.20     0.75    12.43     1.16     7.38     0.92     5.40     0.64
  100.00     0.48    14.95     1.12     1.57     0.92    15.04     1.12     7.57     0.75     5.77     0.98
  125.00     0.60    16.48     1.33     2.10     1.07    16.61     1.33     7.36     0.93     5.86     1.15
  150.00     0.72    18.66     1.32     2.53     1.20    18.83     1.32     7.07     0.86     5.50     1.10
  175.00     0.84    20.86     1.31     3.14     1.29    21.10     1.31     7.06     0.95     4.97     1.04
  200.00     0.96    22.30     1.67     3.86     1.36    22.63     1.66     7.29     1.16     4.31     1.02
  225.00     1.07    23.44     2.31     4.69     1.35    23.90     2.28     7.89     1.28     3.73     0.98
  250.00     1.19    26.49     1.83     5.65     1.29    27.09     1.81     8.31     1.27     3.35     0.85
  275.00     1.31    27.19     1.61     6.72     1.20    28.01     1.59     8.16     1.08     2.95     0.82
  300.00     1.43    27.11     1.90     7.89     1.14    28.24     1.86     8.16     1.00     2.61     0.75
  325.00     1.55    28.01     1.62     9.15     1.13    29.47     1.58     7.90     1.22     2.38     0.65
  350.00     1.67    29.31     1.98    10.46     1.19    31.12     1.92     7.82     1.45     2.25     0.57
  375.00     1.79    30.82     1.86    11.76     1.43    32.98     1.81     8.49     1.24     2.06     0.51
  400.00     1.91    32.13     2.00    13.01     1.74    34.66     1.97     8.65     1.39     1.83     0.48
  425.00     2.03    32.74     2.24    14.14     2.06    35.67     2.21     8.71     1.48     1.59     0.46
  450.00     2.15    33.11     2.54    15.11     2.40    36.39     2.51     8.60     1.61     1.38     0.45
  475.00     2.27    33.42     2.83    15.85     2.77    36.99     2.82     8.42     1.75     1.20     0.44
  500.00     2.39    34.32     2.94    16.32     2.99    38.01     2.95     7.88     1.85     1.06     0.43
  525.00     2.51    34.35     3.26    16.48     3.23    38.10     3.26     7.65     1.84     0.92     0.43
  550.00     2.63    34.94     3.25    16.28     3.48    38.54     3.30     7.28     1.92     0.79     0.42
  575.00     2.75    35.39     3.38    15.70     3.58    38.72     3.43     6.51     2.10     0.69     0.40
  600.00     2.87    36.08     3.03    14.70     3.70    38.96     3.20     6.10     1.93     0.63     0.37
# R["]: sampling radius in arcsec
# R[kpc]: sampling radius in kpc
# Vr: best-fit rotation velocity
# Va: Asymmetric-drift correction term
# Vc: Circular velocity (Vc^2=Vr^2+Va^2)
# Vd: best-fit velocity dispersion
# Sdens: HI surface density in Msun/pc2 (corrected for the primary beam attenuation)
